Point	Longitude	Latitude	radius_m	gr	Lr	distance	d2x	d2y
S0551	108.576249	14.499436	4.0	0.48420918877187774	-0.06366997817763176	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	5.0	1.1621020530525066	-0.1789999936683122	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	6.0	1.9368367550875107	0.2238842455294927	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	7.0	1.3834548250625078	1.3502169542563625	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	8.0	0.4842091887718779	0.8019015106680474	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	9.0	0.6456122516958367	0.23151218511087102	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	10.0	0.9684183775437551	0.03571179660668378	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	11.0	1.056456411865915	0.13362260567514817	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	12.0	1.6140306292395923	0.1325839534144908	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	13.0	1.7878493123884718	1.192639730828832	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	14.0	0.8300728950375046	1.497346793269207	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	15.0	0.5164898013566692	0.745320087289473	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	16.0	0.9684183775437558	0.46684990252390435	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	17.0	1.253247312115448	0.6038030213360948	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	18.0	1.0760204194930618	0.8779756048179586	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	19.0	0.6116326595013193	0.6816501091118425	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	20.0	0.38736735101750186	0.07142359321336755	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	21.0	0.27669096501250195	-0.5462292205348511	98.7819731570409	91.51931080064824	37.17652446602152
